Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1636042558243,04/11/2021 16:15:58,1636042557848,-4,04/11/2021 12:15:57,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,BEGIN QUESTIONNAIRE,
2,1636042587279,04/11/2021 16:16:27,1636042586931,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,age-month,4
3,1636042587530,04/11/2021 16:16:27,1636042586932,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,age-year,19
4,1636042587530,04/11/2021 16:16:27,1636042586932,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,gender,Male
5,1636042587530,04/11/2021 16:16:27,1636042586932,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,ethnicity,Not Hispanic or Latino
6,1636042587530,04/11/2021 16:16:27,1636042586932,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,ethnicity-quantised,2
7,1636042587530,04/11/2021 16:16:27,1636042586933,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,race-2,Asian
8,1636042587530,04/11/2021 16:16:27,1636042586933,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,race-5,White
9,1636042587530,04/11/2021 16:16:27,1636042586933,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,Education Years,14
10,1636042587530,04/11/2021 16:16:27,1636042586933,-4,04/11/2021 12:16:26,68194,4,questionnaire-xtqr,,16891047,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Prolific Adult Demographics Questionnaire,3,No,END QUESTIONNAIRE,29085
1,1636044264773,04/11/2021 16:44:24,1636044264961,-5,04/11/2021 11:44:24,68194,4,questionnaire-xtqr,,16891704,604a10844bde8be09a850300,4999123,,complete,,61840da7904d5f66717080b3,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,2560x1440,2560x1329,,Prolific Adult Demographics Questionnaire,3,No,BEGIN QUESTIONNAIRE,
2,1636044295123,04/11/2021 16:44:55,1636044295385,-5,04/11/2021 11:44:55,68194,4,questionnaire-xtqr,,16891704,604a10844bde8be09a850300,4999123,,complete,,61840da7904d5f66717080b3,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,2560x1440,2560x1329,,Prolific Adult Demographics Questionnaire,3,No,age-month,3
