Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,,ANSWER
1,1636042589874,04/11/2021 16:16:29,1636042589494,-4,04/11/2021 12:16:29,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1636042609825,04/11/2021 16:16:49,1636042609480,-4,04/11/2021 12:16:49,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,1,Screen_1,content,content_video,10634.700000000186,,,,,0,1,0,,,,,,instructions,,
3,1636042610325,04/11/2021 16:16:50,1636042609978,-4,04/11/2021 12:16:49,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,2,Screen_2,button1,response_keyboard,490.59999999962747,,,sound_on,1,1,0,0,,,,,,instructions,,
4,1636042621715,04/11/2021 16:17:01,1636042621391,-4,04/11/2021 12:17:01,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,3,Screen_2_1,content,content_video,11408.199999999255,,,,,0,1,0,,,,,,instructions,,
5,1636042621949,04/11/2021 16:17:01,1636042621509,-4,04/11/2021 12:17:01,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,4,Screen_2_2,advancementZone,response_keyboard_single,112.1000000005588,,,max_browser,1,1,0,0,,,,,,instructions,,
6,1636042634104,04/11/2021 16:17:14,1636042633765,-4,04/11/2021 12:17:13,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,5,Screen_3,content,content_video,12253.400000000373,,,,,0,1,0,,,,,,instructions,,
7,1636042634402,04/11/2021 16:17:14,1636042634062,-4,04/11/2021 12:17:14,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,6,Screen_4,advancementZone,response_keyboard_single,291.5,,,continue,1,1,0,0,,,,,,instructions,,
8,1636042656703,04/11/2021 16:17:36,1636042656358,-4,04/11/2021 12:17:36,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,7,Screen_5,content,content_video,22292.5,,,,,0,1,0,,,,,,instructions,,
9,1636042656937,04/11/2021 16:17:36,1636042656476,-4,04/11/2021 12:17:36,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,8,Screen_6,advancementZone,response_keyboard_single,111.90000000037253,,,continue,1,1,0,0,,,,,,instructions,,
10,1636042664183,04/11/2021 16:17:44,1636042663830,-4,04/11/2021 12:17:43,68194,4,task-1t2b,,16891066,5f8130caccd27c1f1a6bd4be,4998952,,complete,,61840727f1d87ddb2f8e3d55,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1920x1080,1920x969,,Instructions_and_training,14,Spreadsheet1,Spreadsheet1,1,1,9,Screen_7,content,content_video,7351.5999999996275,,,,,0,1,0,,,,,,instructions,,
