Segment Number,TR,continuous time ,Time (s),Segment details,,
1,44,35,0:00 - 0:35,Bedtime,,
2,224,179,0:35 - 2:59,Bedtime story,,
3,243,194,2:59 - 3:14,sleeping,,
4,260,208,3:16 - 3:28,family tree,,
5,340,272,3:29 - 4:32,heist drama,,
6,373,298,4:35 - 4:58,minions,,
7,394,315,4:59 - 5:15,tea party,,
8,444,355,5:23 - 5:55,call at the door,,
9,483,386,5:55 - 6:26,leaving,,
10,509,407,6:29 - 6:47,back home,,
11,544,435,6:47 - 7:15,montage,,
12,656,525,7:16 - 8:45,moon prep,,
13,706,565,8:45 - 9:25,launch,,
14,724,579,9:25 - 9:39,flight suit,,
15,728,582,9:39 - 9:42,,,
16,738,590,9:42 - 9:50,,,
17,740,592,9:52,,,
