Scene Title ,Segment Number,Start Time 2,Start Time (s) , End Time (s) ,Start TR,Camera cut,"Segment Details - dialogue, movement",Scene Details - setting,Space,Name - All,Name - Focus,Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,Valence,Temporal Relationship ,Type of Jump,,,,,
Gru tries to put the children to bed,1,0,0:00,0:03,0,1,"Gru enters room, wanting all the girls to go to bed; girls are hyper and running around ",Gru tries to get the girls to go to bed,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""Come on now, it's bedtime.""; Girls: cheering & giggling",Bedroom,long,no,yes,4,+,,,,,,,
,2,4,0:04,0:08,5,2,Gru asks if the girls brushed their teeth,,Indoor,"Gru, Agnes, Edith","Gru, Agnes","Gru: ""Did you brush your teeth? You did not!"" ",Bedroom,short,no,yes,4,+,,,,,,,
,3,9,0:09,0:11,11,3,"Edith enters frame, showcasing how hyperactive Edith & Agnes are; Margo runs across frame",,Indoor,"Gru, Agnes, Edith",Gru,"Gru: ""Put on your pjs! Hold still!""",Bedroom,long,no,yes,4,+,,,,,,,
,4,12,0:12,0:19,15,4,Gru brings Edith to her bed,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Edith","Gru: ""Ok seriously? Seriously! This is bedtime. Right now. I'm not kidding around. I mean it."" Edith: ""But we're not tired!"" Gru: ""Well I am tired""",Bedroom,medium,no,yes,4,+,,,,,,,
,5,20,0:20,0:23,25,5,Agnes asks for bedtime story,,Indoor,Agnes,Agnes,"Agnes: ""Will you read us a bedtime story?""",Bedroom,medium,no,yes,3,+,,,,,,,
,6,23,0:23,0:23,29,6,Gru looks disdainful,,Indoor,Gru,Gru,N/A,Bedroom,short,no,yes,2,+,,,,,,,
,7,24,0:24,0:25,30,7,"Agnes uses ""puppy eyes"" to try to convince Gru to tell a bedtime story",Agnes asks for a bedtime story,Indoor,Agnes,Agnes,N/A,Bedroom,short,no,no,2,+,,,,,,,
,8,26,0:26,0:27,33,8,Gru declines and exits the room,,Indoor,Gru,Gru,"Gru: ""No.""",Bedroom,short,no,no,2,+,,,,,,,
,9,28,0:28,0:29,35,9,Agnes asks for a bedtime story again,,Indoor,Agnes,Agnes,"Agnes: ""Pretty please?""",Bedroom,short,no,no,2,+,,,,,,,
,10,30,0:30,0:33,38,10,Gru declines; Edith gets out of her bed,,Indoor,"Gru, Agnes, Edith, Margo",Gru,"Gru: ""The physical appearance of the 'please' makes no difference. ",Bedroom,long,no,no,3,+,,,,,,,
,11,33,0:33,0:37,41,11,Edith argues for why they should be told a story,,Indoor,"Gru, Edith, Margo, Agnes","Gru, Edith","Gru: ""It is still no, so go to sleep."" Edith: ""But we can't! We're all hyper!"" ",Bedroom,short,no,yes,3,+,,,,,,,
,12,38,0:38,0:43,48,12,Margo argues for why they should be told a story,,Indoor,"Margo, Agnes, Gru",Margo,"Margo: ""And without a bedtime story, we'll just keep bugging you. All night long.""",Bedroom,medium,no,yes,3,+,,,,,,,
,13,44,0:44,0:45,55,13,Gru agrees to tell a bedtime story,Gru agrees to tell a bedtime story,Indoor,Gru,Gru,"Gru sighs: ""Ah, fine.""",Bedroom,short,no,yes,3,+,,,,,,,
,14,46,0:46,0:48,58,14,Gru walks back into the room (transition),,Indoor,"Gru, Edith, Margo, Agnes",Gru,N/A,Bedroom,medium,no,yes,2,+,,,,,,,
,15,49,0:49,0:52,61,14,"Gru opens the book and introduces the book as ""Sleepy Kittens""",,Indoor,"Gru, Edith, Margo, Agnes",Gru,"Gru: ""Alright, 'Sleepy Kittens'. Sleepy Kittens?""",Bedroom,medium,no,yes,3,+,,,,,,,
,16,53,0:53,0:53,66,15,Gru asks what the puppets are,,Indoor,N/A,N/A,"Gru: ""What are these?""",Bedroom,short,yes,yes,3,+,,,,,,,
,17,54,0:54,0:57,68,16,Agnes tells Gru that the puppets are used to tell the story,,Indoor,"Gru, Agnes","Agnes, Gru","Agnes: ""Puppet! You use them when you tell the story."" ",Bedroom,short,no,yes,3,+,,,,,,,
,18,58,0:58,1:01,73,16,Gru puts his fingers through the puppets,,Indoor,"Gru, Agnes",Gru,N/A,Bedroom,short,no,yes,3,+,,,,,,,
,19,62,1:02,1:03,78,17,Gru wiggles the finger puppets,,Indoor,N/A,N/A,N/A,Bedroom,short,no,yes,3,+,,,,,,,
,20,64,1:04,1:06,80,18,Gru expresses his exasperation with the book,,Indoor,"Gru, Agnes",Gru,"Gru: ""Ok, let's get this over with.""",Bedroom,short,no,yes,3,+,,,,,,,
,21,67,1:07,1:11,84,19,First page read out loud,Gru starts reading bedtime story,Indoor,N/A,N/A,"Gru: ""3 little kittens loved to play. They had fun in the sun all day.""",Bedroom,short,yes,yes,3,+,,,,,,,
,22,72,1:12,1:15,90,19,Second page read out loud,,Indoor,N/A,N/A,"Gru: ""Then their mother came out and said, 'Time for kittens to go to bed'.""",Bedroom,short,yes,yes,3,+,,,,,,,
