Segment Number,Scene Title ,Start Time 2,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - camera cut,Scene Details - setting,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,valence
1,Bed time story,0,0,4,0,"girls are playing the bedroom while Gru tries to make them go to bed. Gru lifts up Agnes and says: ""Come on now. It's bedtime.""",Shot 1,"1. Bed time - Gru tries to prepare the girsl to go to bed, but the girls ask for bed time story",Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,Long,,Yes,5,+
2,,4,4,6,5,"Gru tells Agnes: ""Did you brush your teeth? Let me smell. Let me smell""",Shot 2,,Indoor,"Gru, Agnes","Gru, Agnes",Gru,Bedroom,Medium,,Yes,2,+
3,,6,6,7,8,Agnes breathes into Gru's nose., ,,Indoor,"Gru, Agnes",not apply,not apply,Bedroom,Medium,,Yes,2,+
4,,7,7,8,9,"Gru says to Anges: ""You did not.""", ,,Indoor,"Gru, Agnes",not apply,Gru,Bedroom,Medium,,Yes,3,+
5,,8,8,9,10,Edith jumps onto Gru's face. , ,,Indoor,"Gru, Agnes, Edith",Gru,not apply,Bedroom,Medium,,Yes,4,+
6,,9,9,10,11,"Gru falls down onto the ground, and Edith jumps on Gru's body",Shot 3,,Indoor,"Gru, Edith",not apply,not apply,Bedroom,Long,,Yes,4,+
7,,10,10,12,13,"Gru gets up and lifts Edith's leg. He says: ""Put on your pajamas""",Shot 4,,Indoor,"Gru, Agnes, Edith","Gru, Edith",Gru,Bedroom,Long,,Yes,2,+
8,,12,12,18,15,"Gru puts Edith down on the bed while she's still laughing: ""Okay seriously, seriously. This is, this is very bad. Right now. I'm not kidding around. I mean it.""",Shot 5,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Edith",Gru,Bedroom,Medium,,Yes,2,+
9,,18,18,20,23,"Edith tells Gru: ""But we're not tired.""Anges is jumping on the bed. Margo is walking around. Gru walks away saying: ""Well I am tired.""",,,Indoor,"Gru, Agnes, Edith","Gru, Edith","Gru, Edith",Bedroom,Medium,,Yes,3,+
10,,20,20,22,25,"Agnes pulls out a book from under her pillow: ""Will you read us a bedtime story?""",Shot 6,,Indoor,Agnes,Agnes,Agnes,Bedroom,Medium,,Yes,2,+
11,,22,22,23,28, Gru truns to face the camera with an unhappy face,Shot 7,,Indoor,Gru,Gru,not apply,Bedroom,Close Up,,Yes,2,-
12,,23,23,25,29,Agnes holds the book and expect Gru to read the book.,Shot 8,,Indoor,Agnes,Agnes,not apply,Bedroom,Close Up,,Yes,1,+
13,,25,25,27,31,"Gru turns lights off and says: ""No.""",Shot 9,,Indoor,Gru,Gru,Gru,Bedroom,Close Up,,No,2,-
14,,27,27,29,34,"Anges begs Gru: ""Pretty please.""",Shot 10,,Indoor,Agnes,Agnes,Agnes,Bedroom,Close Up,,No,1,+
15,,29,29,33,36,"Gru stands in the doorway and says ""The physical appearance of the please makes no difference"" Edith jumps out of her bed.",Shot 11,,Indoor,"Gru, Agnes, Edith, Margo",Gru,Gru,Bedroom,Long,,No,2,-
16,,33,33,35,41,"Gru starts to close the door: ""It is still no, so go to sleep.""",Shot 12,,Indoor,Gru,Gru,Gru,Bedroom,Medium,,Yes,2,+
17,,35,35,37,44,"Edith stands next to the door: ""But we can't. We're all hyper.""", ,,Indoor,"Gru, Edith",Edith,Edith,Bedroom,Medium,,Yes,3,+
18,,37,37,43,46,"Margo jumps out of the bed with a pillow: ""And without a bedtime story, we'll just keep getting up and bugging you. All night long."" Agnes nods. ",Shot 13,,Indoor,"Gru, Agnes, Margo",Margo,Margo,Bedroom,Close up,,Yes,2,+
19,,43,43,45,54,"Gru says: ""Fine""",Shot 14,,Indoor,Gru,Gru,Gru,Bedroom,Close Up,,Yes,2,-
20,-reading time,45,45,47,56,Gru walks to the bed area,shot 15,2.in the bedroom--reading time,Indoor,"Gru, Agnes, Margo",Gru,not apply,Bedroom,long,,yes,1,+
21,,47,47,52,59,"Gru sits down:""All right, all right. Sleepy Kittens."" Three girls sit around him",shot 16,,Indoor,"Gru, Agnes, Edith, Margo",Gru,Gru,Bedroom,medium,,yes,2,+
22,,52,52,53,65,"A close display of the book. Gru:""What are these?"" Agnes: ""Puppets.""",shot 17,,Indoor,not apply,not apply,not apply,Bedroom,close up,,no,2,+
23,,53,53,01:01,66,"Agnes:""You use them when you tell the story."" Then Gru checks the book cover again, and puts his fingers into puppets",shot 18,,Indoor,"Gru, Agnes","Gru, Agnes",Agnes,Bedroom,"Over the shoulder, Medium",,no,2,+
24,,61,01:01,01:03,76,A close looks of puppets after Gru wears on them,shot 19,,Indoor,not apply,not apply,not apply,Bedroom,close up,,no,1,+
25,,63,01:03,01:05,79,"Reverse shot of Gru:""Okay, let's get this over with.""",shot 20,,Indoor,"Gru, Agnes","Gru, Agnes",Gru,Bedroom,"Over the shoulder, Medium",,no,2,-
26,,66,01:06,01:11,83,"A close display of the book Gru:"" Three little kittens loved to play, they had fun in the sun all day.""",shot 21,,Indoor,not apply,not apply,not apply,Bedroom,close up,,no,2,+
27,,71,01:11,01:15,89,"A close display of the book Gru:""Then their mother came out and said,'Time for kittens to go to bed.' """,shot 22,,Indoor,not apply,not apply,not apply,Bedroom,close up,,no,2,+
28,,75,01:15,01:20,94,"Gru looks at the girls and points to the book:"" Wow! This is garbage. You actually like this?""",shot 23,,Indoor,"Gru, Agnes, Edith, Margo",Gru,Gru,Bedroom,medium,,no,2,-
29,,80,01:20,01:21,100,"Agnes talks to Gru:""Keep reading!""",,,Indoor,"Gru, Agnes, Edith, Margo",Gru,Agnes,Bedroom,medium,,no,3,-
30,,81,01:21,01:22:50,101,"Edith:"" Come on!""",,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Edith,Bedroom,medium,,no,3,-
31,,82.5,01:22:50,01:25,103,"Gru:""All right, all right, all right.""",,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,medium,,no,2,-
32,,85,01:25,01:27,106,"The description of the book. Gru:"" ""Three little kittens started to bawl,""",shot 24,,Indoor,not apply,not apply,not apply,Bedroom,close up,,no,1,+
33,,87,01:27,01:32,109,"Gru is reading:""Mommy, we're not tired at all.Their mother smiled and said with a purr,""",shot 25,,Indoor,"Gru, Agnes","Gru, Agnes",Gru,Bedroom,close up,,no,2,+
34,,92,01:32,01:36,115,"The description of the book. Gru:"" 'Fine, but at least you should brush your fur.""'",shot 26,,Indoor,not apply,not apply,not apply,Bedroom,close up,,no,1,+
35,,97,01:37,01:38,121,"Edith talks to Gru:""Now you brush the fur.""",shot 27,,Indoor,"Gru, Edith","Gru, Edith",Edith,Bedroom,close up,,no,1,+
36,,98,01:38,01:41,123,"Gru holds the brush and bruhes the puppets:""This is literature?""",,,Indoor,"Gru, Edith","Gru, Edith",Gru,Bedroom,close up,,no,2,-
37,,101,01:41,01:44,126,"Gru looks at the book:""A 2-year-old could have written this. All right.""",,,Indoor,"Gru, Edith","Gru, Edith",Gru,Bedroom,close up,,no,2,-
38,,104,01:44,01:47,130,"Gru is reading:""""Three little kittens with fur all brushed""",shot 28,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,long,,no,1,+
39,,107,01:47,01:50,134,"Gru is reading:""said, 'We can't sleep, we feel too rushed! ' ""
",,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,long,,no,1,+
40,,110,01:50,01:54,138,"Gru is reading:"" ""Their mother replied, with a voice like silk,""",,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,long,,no,1,+
41,,114,01:54,01:57,143,"Gru is reading:"" 'Fine, but at least you should drink your milk.' """,,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,long,,no,1,+
42,,118,01:58,02:00,148,"Agnes talks to Gru:"" Now make them drink the milk.""",shot 29,,Indoor,"Gru, Agnes","Gru, Agnes",Agnes,Bedroom,close up,,no,2,+
43,,121,02:01,02:05,151,A close shot of the puppets. Grus makes them to drink the milk,shot 30,,Indoor,not apply,not apply,not apply,Bedroom,close up,,yes,1,+
44,,125,02:05,02:08,156,"Gru:""I don't like this book.This is going on forever.""",shot 31,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,long,,no,1,+
45,,128,02:08,02:20,160,"Gru keeps reading:""""Three little kittens, with milk all gone, rubbed their eyes and started to yawn."" All of the girls starts to yawn",,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,long,,yes,1,+
