Segment Number,TR,Time (s),Segment details,,
1,26,21,Kids jumping around,,
2,58,46,Convincing Gru to read the story,,
3,210,168,Gru reading bedtime story,,
4,244,195,Kids going to sleep,,
5,343,274,Argument between Gru and Dr Nefario about the girls,,
6,373,298,Minions coping butts,,
7,401,321,Tea party game getting interupted ,,
8,499,399,Girls are picked up ,,
9,545,436,Everyone is sad that the girls left ,,
10,674,539,Gru lauching spaceship,,
11,723,578,Vector (orange guy) trying to latch on spaceship,,
12,750,600,Spaceship entering space,,
