Segment Number,TR,continuous time ,Time (s),Segment details,,
1,6,5,0:05,parent entering,,
2,11,9,:09,smelling breath,,
3,25,20,:20,settling thrown child,,
4,35,28,:28,Bedtime story ask,,
5,61,49,:49,convincing parent to read bedtime story,,
6,85,68,1:08,settling into reading the story,,
7,214,171,2:51,Reading the story,,
8,244,195,3:15,"Lights out, going to sleep",,
9,344,275,4:35,Talk with the evil scientist,,
10,369,295,4:55,Photocopying butt,,
11,374,299,4:59,Sharp thing falls by them,,
12,401,321,5:21,Tea party,,
13,506,405,6:45,Girls are taken away,,
14,553,442,7:22,Experiencing life without the girls,,
15,635,508,8:28,Getting in the spacecraft,,
16,740,592,9:52,Takeoff,,
17,750,600,10,In outer space,,
