Segment Number,Scene Title ,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - camera cut,Scene Details - setting,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,valence,,,,,
1,Bedtime,0,4,0,"Children run around the bedroom while Gru tries to make them go to bed. Gru picks up Agnes and says: ""Come on now. It's bedtime.""",Shot 1,1. Bed time - Gru tries to settle the girls down and prepare them to go to bed.,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,Long,,Yes,2,+,,,,,
2,,4,6,5,"Gru asks Agnes: ""Did you brush your teeth? Let me smell. Let me smell""",Shot 2,,Indoor,"Gru, Agnes","Gru, Agnes",Gru,Bedroom,Medium,,Yes,2,+,,,,,
3,,6,7,8,Agnes breathes into Gru's nose., ,,Indoor,"Gru, Agnes",,,Bedroom,,,Yes,3,+,,,,,
4,,7,8,9,"Gru frowns and says: ""You did not.""", ,,Indoor,"Gru, Agnes",,Gru,Bedroom,,,Yes,3,+,,,,,
5,,8,9,10,Edith jumps onto Gru's face. , ,,Indoor,"Gru, Agnes, Edith",Gru,,Bedroom,,,Yes,3,+,,,,,
6,,9,10,11,Gru falls down onto the ground. ,Shot 3,,Indoor,"Gru, Edith",,,Bedroom,Long,,Yes,4,+,,,,,
7,,10,12,13,"Gru gets up and holds Edith by the leg saying: ""Put on your PJs""",Shot 4,,Indoor,"Gru, Agnes, Edith","Gru, Edith",Gru,Bedroom,Long,,Yes,2,+,,,,,
8,,12,18,15,"Gru puts Edith down on the bed while she's still laughing: ""Okay seriously, seriously. This is, this is very bad. Right now. I'm not kidding around. I mean it.""",Shot 5,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Edith",Gru,Bedroom,Medium,,Yes,2,+,,,,,
9,,18,20,23,"Edith complains: ""But we're not tired."" Gru walks away saying: ""Well I am tired.""",,2. Bed time story - The girls ask Gru to read them a bedtime story before going to sleep.,Indoor,"Gru, Agnes, Edith","Gru, Edith","Gru, Edith",Bedroom,,,Yes,2,+,,,,,
10,,20,22,25,"Agnes pulls out a book from under her pillow: ""Will you read us a bedtime story?""",Shot 6,,Indoor,Agnes,Agnes,Agnes,Bedroom,Medium,,Yes,2,+,,,,,
11,,22,23,28,Close up of Gru looking back with an annoyed face from walking out the door.,Shot 7,,Indoor,Gru,Gru,,Bedroom,Close Up,,Yes,1,+,,,,,
12,,23,25,29,Close up of Agnes holding the book and blinking with a cute face.,Shot 8,,Indoor,Agnes,Agnes,,Bedroom,Close Up,,Yes,1,+,,,,,
13,,25,27,31,"Reverse shot of Gru turning off the lights and walking out: ""No.""",Shot 9,,Indoor,Gru,Gru,Gru,Bedroom,Close Up,,No,1,+,,,,,
14,,27,29,34,"Reverse shot of Agnes: ""Pretty please.""",Shot 10,,Indoor,Agnes,Agnes,Agnes,Bedroom,Close Up,,No,1,+,,,,,
15,,29,33,36,"Gru stands in the doorway and says ""The physical appearance of the please makes no difference"" as the Edith walks out of her bed.",Shot 11,,Indoor,"Gru, Agnes, Edith, Margo",Gru,Gru,Bedroom,Long,,No,2,+,,,,,
16,,33,35,41,"Gru starts to close the door: ""It is still no, so go to sleep.""",Shot 12,,Indoor,Gru,Gru,Gru,Bedroom,Medium,,Yes,2,+,,,,,
17,,35,37,44,"Edith stands next to the door: ""But we can't. We're all hyper.""", ,,Indoor,"Gru, Edith",Edith,Edith,Bedroom,,,Yes,3,+,,,,,
18,,37,43,46,"Margo gets out a bed and picks up a pillow: ""And without a bedtime story, we'll just keep getting up and bugging you. All night long."" Agnes nods. ",Shot 13,,Indoor,"Gru, Agnes, Margo",Margo,Margo,Bedroom,"Over the shoulder, Medium",,Yes,2,+,,,,,
19,,43,45,54,"Close up of Gru in doorway. He sighs and says: ""Fine""",Shot 14, ,Indoor,Gru,Gru,Gru,Bedroom,Close Up,,Yes,1,+,,,,,
20,,45,47,56,Gru takes the book from Agnes,Shot 15,3. Gru reads book for the girls. He is not very enthusiastic and is annoyed.,Indoor,"Gru, Agnes, Edith, Margo",Gru,,Bedroom,Long,,Yes,1,+,,,,,
21,,47,52,59,"Gru sits down as the children gather around. He reads title: ""Sleepy Kittens. Sleepy Kittens?""",Shot 16,,Indoor,"Gru, Agnes, Edith, Margo",Gru,Gru,Bedroom,Long,,Yes,2,+,,,,,
22,,52,54,65,"Close up of finger puppets in the book. Gru points at them and asks: ""What are these?""",Shot 17,,Indoor,Gru,Gru,Gru,Bedroom,Close Up,"Three little kittens loved to play they had fun in the sun all day. Then their mother ca... ""Time for kittens...",Yes,2,+,,,,,
23,,54,56,68,"Agnes, from Gru's shoulder replies: ""Puppets. You use them when you tell the story.""",Shot 18,,Indoor,"Gru, Agnes",Agnes,Agnes,Bedroom,Close Up,,Yes,2,+,,,,,
24,,56,61,70,Gru looks at the book again with a disgusted face but puts his fingers in the puppets., ,,Indoor,"Gru, Agnes",Gru,,Bedroom,,,Yes,3,+,,,,,
25,,61,62,76,Close up of finger puppets as Gru now wiggles them.,Shot 19,,Indoor,"Gru, Puppets",Puppets,,Bedroom,Close Up,,Yes,2,+,,,,,
26,,62,66,78,"Gru looks a bit amazed at first, and frowns again saying: ""Okay. Let's get this over with.""",Shot 20,,Indoor,"Gru, Agnes",Gru,Gru,Bedroom,Close Up,,Yes,2,+,,,,,
27,,66,75,83,"Close up of the book as Gru reads it: ""Three little kittens loved to play they had fun in the sun all day. Then their mother came out and said 'Time for kittens to go to bed'.""",Shot 21, ,Indoor,Gru,,Gru,Bedroom,Close Up,"Three little kittens loved to play they had fun in the sun all day. Then their mother came out and said, ""Time for kittens to go to bed.""",Yes,1,+,,,,,
28,,75,80,94,"Gru says: ""Wow. This is garbage. You actually like this?""",Shot 22,,Indoor,"Gru, Agnes, Edith, Margo",Gru,Gru,Bedroom,Medium,,Yes,2,+,,,,,
29,,80,84,100,"The girls frown. Agnes says: ""Keep reading!"" Gru sighs and turns the page. Edith says: ""Come on."" Gru replies: ""Alright alright alright alright.""", ,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes",Agnes,Bedroom,,,Yes,2,+,,,,,
30,,84,87,105,"Close up of book. Gru starts reading: ""Three little kittens started to bawl.""",Shot 23,,Indoor,Gru,,Gru,Bedroom,Close Up,"Three little kittens started to bawl ""Mommy, we're not tired at all.""",Yes,1,+,,,,,
