Segment Number,Scene Title ,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - when the camera cuts,Scene Details ,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal (?),valence (+ / - ),,,,,,,
1,Goodnight: Telling children to go to bed,0,3,0,"Children are laughing, shouting, Margo is jumping on the bed and Edith climbing on the bookcase. Gru says ""Come on now, it's bed time"" and picks Agnes up, carries her towards beds.", ,1. Trying to get the girls into bed,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes",Gru,Girls' bedroom,Long,,Y,4, +,,,,,,,
2,,4,8,5,"Gru puts Agnes down on the bed as he asks ""Did you brush you teeth?"", then he gestures and says ""Let me smell"". Agnes breathes into his face, ""You did not!"" he exclaims, pointing at her. Edith and Margo are leughing in the background. He then falls backwards as Edith comes flying into him. ", ,,Indoor,"Gru, Agnes","Gru, Agnes",Gru,Girls' bedroom,Close,,Y,4, +,,,,,,,
3,,8,10,10,"Gru lies on the ground with a laughing Edith on his chest, says ""Put on your PJ"" and ""Hold still"" as he gets up, lifting Edith by the foot. The girls are laughing, Agnes is jumping ona  bed in the background.", ,,Indoor,"Gru, Edith, Agnes","Gru, Edith",Gru,Girls' bedroom,"Long, bird",,Y,4, +,,,,,,,
4,,11,19,14,"Gru says ""Okay, seriously, seriously! This is beddy bye ... time. Right now! I'm not kidding around, I mean it"" as he carries Edith to a bed by her foot and sets her down. Margo runs past in the foreground. Gru turns to leave and Edith exclaims ""But we're not tired!"". Gru answers: ""Well, I am tired!"" and starts walking away.", ,,Indoor,"Gru, Edith, Agnes, Margo","Gru, Edith","Gru, Edith",Girls' bedroom,Long,,Y,4, +,,,,,,,
5,"Attempted exit: Gru tries to leave, Agnes wants a bedtime story",20,22,25,"Agnes sits on a bed, asks ""Will you read us a bedtime story?"" and pulls out a children's book from under the pillow.", ,2. Bedtime story persuasion,Indoor,Agnes,Agnes,Agnes,Girls' bedroom,Close,,y,2, +,,,,,,,
6,,22,23,28,"Gru is at the door, he looks at the camera with a raised eyebrow", ,,Indoor,Gru,Gru,-,Girls' bedroom,Medium,,Y,2, +,,,,,,,
7,,23,24,29,"Agnes holds the book to her chest and looks upwards, cocks her head and blinks (a bell sound accompanies her blink)", ,,Indoor,Agnes,Agnes,-,Girls' bedroom,Close,,Y,2, +,,,,,,,
8,,25,27,31,"Gru says ""No"", turns and walks out the door as he turns the lights off", ,,Indoor,Gru,Gru,Gru,Girls' bedroom,Medium,,Y,3,-,,,,,,,
9,,27,29,34,"Agnes pleads ""Pretty please"", still in bed holding the book", ,,Indoor,Agnes,Agnes,Agnes,Girls' bedroom,Close,,N,2, +,,,,,,,
10,,29,32,36,"Gru stands by the door and answers ""The physical appearance of the please makes no difference"". Edith runs across the room from her bed to the piano. ", ,,Indoor,"Gru, Margo, Agnes, Edith",(none),Gru,Girls' bedroom,Long,,N,2,-,,,,,,,
11,,33,37,41,"We see Gru with his hand on the handle, he says: ""It is still no, so go to sleep"" and once again tries to go out the door. Edith is on top of the piano besides him and says: ""But we can't, we're all hyper!"" and jumps up and down.", ,,Indoor,"Gru, Edith",Gru,"Gru, Edith",Girls' bedroom,Medium,,Y,3,-,,,,,,,
12,,37,42,46,"Margo steps down from her bed, grabs Agnes' pillow and holds it while saying: ""And, without a bedtime story, we'll just keep getting up and bugging you. All night long"". Agnes nods quickly behind her, smiling.", ,,Indoor,"Margo, Agnes, Gru",Margo,Margo,Girls' bedroom,Medium,,Y,2,-,,,,,,,
13,,43,45,54,"Gru looks, then sighs", ,,Indoor,Gru,Gru,Gru,Girls' bedroom,Close,,N,3,-,,,,,,,
14,Bedtime story: Gru reads to the girls from their picture book,45,47,56,"""Ugh, fine"", Gru says. He walks into the room, towards the beds and takes the book from Agnes.", ,3. Gru gives in,Indoor,"Gru, Margo, Edith, Agnes",Gru,Gru,Girls' bedroom,Long,,Y,3,-,,,,,,,
15,,47,51,59,"Gru sits down on pillows by the beds, saying ""Alright, alright"". He looks at the book, reads ""Sleepy kittens. Sleepy kittens?"" and raises his eyebrows. The girls gather around him and turn their attention towards the book.", ,,Indoor,"Gru, Margo, Edith, Agnes",Gru,Gru,Girls' bedroom,Medium,,Y,2, +,,,,,,,
16,,52,53,65,"Shot of the book, with three finger puppets. Gru's finger gestures to them, he asks: ""What are these?""", ,,Indoor,Gru (hand),-,Gru,Girls' bedroom,Close,,Y,2, +,,,,,,,
