Segment Number,TR,continuous time,Time (s),Segment details,,
1,5,4,0:00 - 0:04,jumping on bed,,
2,9,7,0:04 - 0:07,breath check,,
3,19,15,0:08 - 0:15,Edith misbehaving ,,
4,210,168,0:16 - 2:48,bedtime story,,
5,244,195,2:49 - 3:15,girls go to bed,,
6,345,276,3:16 - 4:36,Dr. Nefario talks to Gru,,
7,373,298,4:37 - 4:58,minions giggling ,,
8,399,319,5:00 - 5:19,tea time,,
9,483,386,5:21 - 6:26,girls taken away,,
10,511,409,6:46 - 6:49,Gru depressed,,
11,531,425,6:50 - 7:05,girls in boxes of shame,,
12,544,435,7:07 - 7:15,Gru wakes up,,
13,655,524,7:16 - 8:44,shuttle in lab,,
14,673,538,8:44 - 8:58,neighbor watching ,,
15,705,564,8:59 - 9:24,Vector attacks,,
16,721,577,9:25 - 9:37,Vector fails at flying,,
17,750,600,9:38 - 10:00,Gru in space,,
