TR,time continuous,Time (s),Segment details,,,
5,4,0:00-0:04,kids playing + gru enters,,,
10,8,0:04 -0:08,gru talks to one kid about brushing teeth,,,
33,26,0:08-0:26,kids jumping and playing with gru before bedtime,,,
58,46,0:26-0:46,kids convincing gru to tell them a bedtime story ,,,
206,165,0:46-2:45,gru reading the sleepy kittens story to the kids,,,
219,175,2:45-2:55,gru tells the kids to sleep but kids ask gru for good night kisses,,,
244,195,2:55-3:15,kids talk to each other as they go to bed (they talk to each other about gru),,,
260,208,3:15-3:28,gru walks away from the door and thinks about family ,,,
339,271,3:28-4:31,"gru and dr. nefario talk about launching their plans for a heist as gru is picking up the dolls, but gru decides to push the plans to another day ",,,
344,275,4:31-4:35,gru walks away from Dr. nefario,,,
364,291,4:35-4:51,minions are playing with a copier and in the backgroup a device becomes larger and larger,,,
373,298,4:51-4:58,minions continue playing with the copier,,,
393,314,4:58-5:14,gru and the kids are playing tea party when they hear the door bell ring,,,
405,324,5:14-5:24,gru excuses himself and goes to the door,,,
433,346,5:24-5:46,gru opens the door and sees the adoption lady who is angry with him,,,
444,355,5:46-5:55,"dr nefario shows up at the door, and gru realizes he has to get the girls ready to go",,,
485,388,5:55-6:28,"kids leave gru reluctantly, get into the car with the adoption lady and gru and the kids are sad",,,
506,405,6:29-6:45,gru and dr nefario enter back into the house as the minions watch through the window,,,
526,421,6:45-7:01,"gru is sad (doesn't eat, stares at the wall as the minions clean up the kids drawings)",,,
531,425,7:01-7:05,kids are in the orphanage in boxes of shame as punishment,,,
545,436,7:05-7:16,gru is still sad at home on the bed and sees the kids toys and screams,,,
576,461,7:16-7:41,minions are all working around as gru prepares for launch,,,
578,462,7:41-7:42,scene cuts to one of the kids staring at the sky and back to gru who is doing the same in a space suit,,,
616,493,7:42-8:13,gru is on his way to the top of the shuttle as one minion talks to him about the kids dance recital and stuffs the ticket stub in his pocket,,,
641,513,8:13-8:33,gru enters the spaceship and gets ready for the lauch,,,
671,537,8:33-8:57,"the countdown begins and the launch sequence is initiated. Outside the house, the ground shakes and spaceship appears, as vector appears on scene",,,
693,554,8:57-9:14,the spaceship launches as vector also gets on to it,,,
705,564,9:14-9:24,gru communicates with dr nefario as vector appears. Gru shocks vector who falls to the earth,,,
724,579,9:24-9:39,"vector falls to earth, but launches his flight suit. He then hits an electric pole and gets electrocuted",,,
750,600,9:39-10:00,"gru launches into space, and we see a minion in space floating around. Gru makes it to space and launches the next phase.",,,
